========== Currency ==========
class=Currency | name=Acorns | id=Acorns | display=Acorns | index=1
class=Currency | name=BackroomsCoins | id=BackroomsCoins | display=Backrooms Coins | index=2
class=Currency | name=BasketballCoins | id=BasketballCoins | display=Basketball Coins | index=3
class=Currency | name=BlockPartyCoins | id=BlockPartyCoins | display=Block Party Coins | index=4
class=Currency | name=CannonTycoonCoins | id=CannonTycoonCoins | display=Cannon Tycoon Coins | index=5
class=Currency | name=CardCoins | id=CardCoins | display=Card Coins | index=6
class=Currency | name=CloverCoins | id=CloverCoins | display=Clover Coins | index=7
class=Currency | name=Coins | id=Coins | display=Coins | index=8
class=Currency | name=ColorCoins | id=ColorCoins | display=Color Coins | index=9
class=Currency | name=Diamonds | id=Diamonds | display=Diamonds | index=10
class=Currency | name=Digsite | id=Digsite | display=Digsite Tokens | index=11
class=Currency | name=DinoTycoonCoins | id=DinoTycoonCoins | display=Dino Tycoon Coins | index=12
class=Currency | name=EasterCoins | id=EasterCoins | display=Easter Coins | index=13
class=Currency | name=FactoryCoins | id=FactoryCoins | display=Factory Coins | index=14
class=Currency | name=FantasyCoins | id=FantasyCoins | display=Fantasy Coins | index=15
class=Currency | name=FarmingCoins | id=FarmingCoins | display=Farming Coins | index=16
class=Currency | name=Fishing | id=Fishing | display=Fishing Tokens | index=17
class=Currency | name=FishingEvent | id=FishingEvent | display=Fishing Coins | index=18
class=Currency | name=GameCoins | id=GameCoins | display=Game Coins | index=19
class=Currency | name=GingerbreadCoins | id=GingerbreadCoins | display=Holiday Coins | index=20
class=Currency | name=GingerbreadCoins2 | id=GingerbreadCoins2 | display=Holiday Coins | index=21
class=Currency | name=GlitchCoins | id=GlitchCoins | display=Glitch Coins | index=22
class=Currency | name=GoodVsEvilCoins | id=GoodVsEvilCoins | display=Good vs. Evil Coins | index=23
class=Currency | name=GymCoins | id=GymCoins | display=Gym Coins | index=24
class=Currency | name=HalloweenCandy | id=HalloweenCandy | display=Halloween Candy | index=25
class=Currency | name=HalloweenCoins | id=HalloweenCoins | display=Halloween Candy | index=26
class=Currency | name=LineCoins | id=LineCoins | display=Line Coins | index=27
class=Currency | name=LuckyCoins | id=LuckyCoins | display=Lucky Coins | index=28
class=Currency | name=MiningCoins | id=MiningCoins | display=Mining Coins | index=29
class=Currency | name=RaveCoins | id=RaveCoins | display=Rave Coins | index=30
class=Currency | name=RngCoins | id=RngCoins | display=RNG Coins | index=31
class=Currency | name=SnowstormSurvival | id=SnowstormSurvival | display=Logs | index=32
class=Currency | name=SummerCoins | id=SummerCoins | display=Summer Coins | index=33
class=Currency | name=TechCoins | id=TechCoins | display=Tech Coins | index=34
class=Currency | name=TowerDefenseRubies | id=TowerDefenseRubies | display=Rubies | index=35
class=Currency | name=ValentinesCoins | id=ValentinesCoins | display=Valentines Coins | index=36
class=Currency | name=VoidCoins | id=VoidCoins | display=Void Coins | index=37
class=Currency | name=Woodcutting | id=Woodcutting | display=Woodcutting Tokens | index=38
class=Currency | name=YeetOrbs | id=YeetOrbs | display=Yeet Orbs | index=39

========== WateringCans ==========
class=WateringCans | name=Golden Watering Can | id=Golden Watering Can | display=Golden Watering Can
class=WateringCans | name=Watering Can | id=Watering Can | display=Watering Can

========== Products ==========
class=Products | name=10 Exclusive Egg | id=10 Exclusive Egg | display=35 Exclusive Eggs
class=Products | name=10 Farming Slots | id=10 Farming Slots | display=+10 Farming Slots
class=Products | name=100 Exclusive Egg | id=100 Exclusive Egg | display=170 Exclusive Eggs
class=Products | name=100 Farming Storage Slots | id=100 Farming Storage Slots | display=+100 Farming Storage Slots
class=Products | name=3 Anime Pack | id=3 Anime Pack | display=(3) Anime Pack
class=Products | name=3 Exclusive Egg | id=3 Exclusive Egg | display=8 Exclusive Eggs
class=Products | name=3 Ghostly Pack | id=3 Ghostly Pack | display=(3) Ghostly Pack
class=Products | name=30 Anime Pack | id=30 Anime Pack | display=(30) Anime Pack
class=Products | name=30 Ghostly Pack | id=30 Ghostly Pack | display=(30) Ghostly Pack
class=Products | name=40 Extra Eggs | id=40 Extra Eggs | display=40 Extra Eggs
class=Products | name=All Enchant Slots | id=All Enchant Slots | display=+3 Enchant Slots!
class=Products | name=Anime Pack | id=Anime Pack | display=(1) Anime Pack
class=Products | name=Astra Hoverboard | id=Astra Hoverboard | display=Astra Hoverboard
class=Products | name=BackroomsPack 100 | id=BackroomsPack 100 | display=The Backrooms Pack 100
class=Products | name=BackroomsPack 1200 | id=BackroomsPack 1200 | display=The Backrooms Pack 1200
class=Products | name=BackroomsPack 25 | id=BackroomsPack 25 | display=The Backrooms Pack 25
class=Products | name=BackroomsPack 250 | id=BackroomsPack 250 | display=The Backrooms Pack 250
class=Products | name=BackroomsPack 400 | id=BackroomsPack 400 | display=The Backrooms Pack 400
class=Products | name=BackroomsPack 50 | id=BackroomsPack 50 | display=The Backrooms Pack 50
class=Products | name=BackroomsPack 650 | id=BackroomsPack 650 | display=The Backrooms Pack 650
class=Products | name=BackroomsPack 800 | id=BackroomsPack 800 | display=The Backrooms Pack 800
class=Products | name=BackroomsPack 950 | id=BackroomsPack 950 | display=The Backrooms Pack 950
class=Products | name=Booth Slot Voucher | id=Booth Slot Voucher | display=Booth Slot Voucher
class=Products | name=Clan Voucher | id=Clan Voucher | display=Clan Voucher
class=Products | name=Clover Pack | id=Clover Pack | display=Clover Pack
class=Products | name=Commerce Titanic Ancient Dragon | id=Commerce Titanic Ancient Dragon | display=
class=Products | name=Commerce Titanic Electric Werewolf | id=Commerce Titanic Electric Werewolf | display=
class=Products | name=Commerce Titanic Gamer Shiba | id=Commerce Titanic Gamer Shiba | display=
class=Products | name=Commerce Titanic Inferno Dominus | id=Commerce Titanic Inferno Dominus | display=
class=Products | name=Commerce Titanic Wicked Angelus | id=Commerce Titanic Wicked Angelus | display=
class=Products | name=Commerce Titanic Wild Fire Agony | id=Commerce Titanic Wild Fire Agony | display=
class=Products | name=Corrupt Hoverboard | id=Corrupt Hoverboard | display=Corrupt Hoverboard
class=Products | name=Discounted FP 100 | id=Discounted FP 100 | display=The Forever Pack 100
class=Products | name=Discounted FP 1000 | id=Discounted FP 1000 | display=The Forever Pack 1000
class=Products | name=Discounted FP 1200 | id=Discounted FP 1200 | display=The Forever Pack 1200
class=Products | name=Discounted FP 1700 | id=Discounted FP 1700 | display=The Forever Pack 1700
class=Products | name=Discounted FP 2400 | id=Discounted FP 2400 | display=The Forever Pack 2400
class=Products | name=Discounted FP 250 | id=Discounted FP 250 | display=The Forever Pack 250
class=Products | name=Discounted FP 400 | id=Discounted FP 400 | display=The Forever Pack 400
class=Products | name=Discounted FP 50 | id=Discounted FP 50 | display=The Forever Pack 50
class=Products | name=Discounted FP 650 | id=Discounted FP 650 | display=The Forever Pack 650
class=Products | name=Discounted FP 800 | id=Discounted FP 800 | display=The Forever Pack 800
class=Products | name=Enchant 3 Pickaxes | id=Enchant 3 Pickaxes | display=Enchant 3 Pickaxes
class=Products | name=Enchant Slot 1 | id=Enchant Slot 1 | display=Enchant Slot 1
class=Products | name=Enchant Slot 2 | id=Enchant Slot 2 | display=Enchant Slot 2
class=Products | name=Enchant Slot 2 and 3 | id=Enchant Slot 2 and 3 | display=+2 Enchant Slots!
class=Products | name=Enchant Slot 3 | id=Enchant Slot 3 | display=Enchant Slot 3
class=Products | name=Exclusive Daycare Slot Voucher | id=Exclusive Daycare Slot Voucher | display=Exclusive Daycare Slot Voucher
class=Products | name=Exclusive Egg | id=Exclusive Egg | display=2 Exclusive Egg
class=Products | name=Expert Starter Pack | id=Expert Starter Pack | display=Expert Starter Pack
class=Products | name=Fantasy Pack | id=Fantasy Pack | display=Fantasy Pack
class=Products | name=Farming Restock Eggs | id=Farming Restock Eggs | display=Restock Eggs
class=Products | name=Farming Restock Supplies | id=Farming Restock Supplies | display=Restock Supplies
class=Products | name=Farming Sprinkler 1 | id=Farming Sprinkler 1 | display=Farming Sprinkler I
class=Products | name=Farming Sprinkler 2 | id=Farming Sprinkler 2 | display=Farming Sprinkler II
class=Products | name=Farming Sprinkler 3 | id=Farming Sprinkler 3 | display=Farming Sprinkler III
class=Products | name=ForeverPack 100 | id=ForeverPack 100 | display=The Forever Pack 100
class=Products | name=ForeverPack 1000 | id=ForeverPack 1000 | display=The Forever Pack 1000
class=Products | name=ForeverPack 1200 | id=ForeverPack 1200 | display=The Forever Pack 1200
class=Products | name=ForeverPack 1700 | id=ForeverPack 1700 | display=The Forever Pack 1700
class=Products | name=ForeverPack 2400 | id=ForeverPack 2400 | display=The Forever Pack 2400
class=Products | name=ForeverPack 250 | id=ForeverPack 250 | display=The Forever Pack 250
class=Products | name=ForeverPack 400 | id=ForeverPack 400 | display=The Forever Pack 400
class=Products | name=ForeverPack 50 | id=ForeverPack 50 | display=The Forever Pack 50
class=Products | name=ForeverPack 650 | id=ForeverPack 650 | display=The Forever Pack 650
class=Products | name=ForeverPack 800 | id=ForeverPack 800 | display=The Forever Pack 800
class=Products | name=Ghostly Pack | id=Ghostly Pack | display=(1) Ghostly Pack
class=Products | name=Halloween Pack | id=Halloween Pack | display=Halloween Pack
class=Products | name=Huge Machine 1 | id=Huge Machine 1 | display=Huge Machine 1
class=Products | name=Huge Machine 2 | id=Huge Machine 2 | display=Huge Machine 2
class=Products | name=Kitsune Hoverboard | id=Kitsune Hoverboard | display=Kitsune Hoverboard
class=Products | name=Kraken Raft | id=Kraken Raft | display=Kraken
class=Products | name=Massive Diamond Pack | id=Massive Diamond Pack | display=Massive Diamond Pack
class=Products | name=Massive Potion Bundle | id=Massive Potion Bundle | display=Massive Potion Bundle
class=Products | name=Nightfall Booth | id=Nightfall Booth | display=Nightfall Booth
class=Products | name=Nightmare Ultimate | id=Nightmare Ultimate | display=Nightmare
class=Products | name=Pixel Agony Egg | id=Pixel Agony Egg | display=Pixel Agony Egg
class=Products | name=Pixel Angelus Egg | id=Pixel Angelus Egg | display=Pixel Angelus Egg
class=Products | name=Pixel Bee Egg | id=Pixel Bee Egg | display=Pixel Bee Egg
class=Products | name=Pixel Bunny Egg | id=Pixel Bunny Egg | display=Pixel Bunny Egg
class=Products | name=Pixel Burger | id=Pixel Burger | display=Pixel Burger
class=Products | name=Pixel Carrot | id=Pixel Carrot | display=Pixel Carrot
class=Products | name=Pixel Cat Egg | id=Pixel Cat Egg | display=Pixel Cat Egg
class=Products | name=Pixel Chick Egg | id=Pixel Chick Egg | display=Pixel Chick Egg
class=Products | name=Pixel Cookie | id=Pixel Cookie | display=Pixel Cookie
class=Products | name=Pixel Corgi Egg | id=Pixel Corgi Egg | display=Pixel Corgi Egg
class=Products | name=Pixel Corn | id=Pixel Corn | display=Pixel Corn
class=Products | name=Pixel Demon Egg | id=Pixel Demon Egg | display=Pixel Demon Egg
class=Products | name=Pixel Dominus Astra Egg | id=Pixel Dominus Astra Egg | display=Pixel Dominus Astra Egg
class=Products | name=Pixel Goblin Egg | id=Pixel Goblin Egg | display=Pixel Goblin Egg
class=Products | name=Pixel Griffin Egg | id=Pixel Griffin Egg | display=Pixel Griffin Egg
class=Products | name=Pixel M2 PROTOTYPE Egg | id=Pixel M2 PROTOTYPE Egg | display=Pixel M-2 PROTOTYPE
