class=Booth | name=Default | uid=6faea6194cbe48f797adf4b31a2e1426 | amount=1 | path=Save.Inventory.Booth
class=Booth | name=Dragon | uid=7e32529641e04c9d9fa1d86ae76dcb65 | amount=1 | path=Save.Inventory.Booth
class=Booth | name=Egg | uid=1de9494fb6514bdfa24efefe135d8214 | amount=1 | path=Save.Inventory.Booth
class=Box | name=Small | uid=90dc9074de3f4a8cb78b084d794e0c64 | amount=8 | path=Save.Inventory.Box
class=Charm | name=Agility | uid=40260894f76648a0bfd04e1e662825d3 | amount=2 | path=Save.Inventory.Charm
class=Charm | name=Bonus | uid=b346b6440fc643989c42d8ba4d92c999 | amount=1 | path=Save.Inventory.Charm
class=Currency | name=BackroomsCoins | uid=0112ad50fce54034b1f794fa754aba51 | amount=181506 | path=Save.Inventory.Currency
class=Currency | name=CloverCoins | uid=686e5736a28d4027b73227c409d7f882 | amount=28699 | path=Save.Inventory.Currency
class=Currency | name=Coins | uid=bf57434290a24596abaaef6191bb98fb | amount=7.416674914391553e+36 | path=Save.Inventory.Currency
class=Currency | name=Diamonds | uid=dbf308269b9e47298e53d91c76480926 | amount=797237 | path=Save.Inventory.Currency
class=Currency | name=FantasyCoins | uid=7e2fda3908f84bf5b20a6c0e6f36c86b | amount=2547971298811381000 | path=Save.Inventory.Currency
class=Currency | name=Fishing | uid=6a7c83936dc64bad9fefd9c21d3fd30b | amount=231774 | path=Save.Inventory.Currency
class=Currency | name=GoodVsEvilCoins | uid=f1b27349b9a746f9b68ec5921da8f965 | amount=100 | path=Save.Inventory.Currency
class=Currency | name=LuckyCoins | uid=05155c4e16ec428ea9fa3ae6ec096261 | amount=279144972187 | path=Save.Inventory.Currency
class=Currency | name=TechCoins | uid=18aeefcc3b9543d8a9c02f50f9b47ab2 | amount=1.3808635280430242e+37 | path=Save.Inventory.Currency
class=Currency | name=VoidCoins | uid=979e2c3440344da99248a0712fca0c39 | amount=1918150673023824 | path=Save.Inventory.Currency
class=Enchant | name=Blast | uid=b3abf3c93a554a95a6aee04035965fed | amount=4 | path=Save.Inventory.Enchant
class=Enchant | name=Chest Breaker | uid=9605fa52f48445898d869f312e0b975f | amount=1 | path=Save.Inventory.Enchant
class=Enchant | name=Coins | uid=0ad1c6d02ba2456e9e3497cc14e485bb | amount=392 | path=Save.Inventory.Enchant
class=Enchant | name=Coins | uid=59843ea72d1d45b4adc69e58500f1ca2 | amount=2 | path=Save.Inventory.Enchant
class=Enchant | name=Coins | uid=918d5886b2284a8d99b13135e2173bdb | amount=1 | path=Save.Inventory.Enchant
class=Enchant | name=Coins | uid=98dc007237044743baafc464113ecb65 | amount=29 | path=Save.Inventory.Enchant
class=Enchant | name=Coins | uid=a9e4d1ff86e44f9790bbbf1a9b1da0ac | amount=58 | path=Save.Inventory.Enchant
class=Enchant | name=Coins | uid=bbceb58c182d41a99f53cdef78dcace9 | amount=3 | path=Save.Inventory.Enchant
class=Enchant | name=Coins | uid=c1fb6242dbc846119f061dc1cc3b091b | amount=297 | path=Save.Inventory.Enchant
class=Enchant | name=Coins | uid=dadf40c5adb247b1bf244e97888eb919 | amount=285 | path=Save.Inventory.Enchant
class=Enchant | name=Coins | uid=fa48dc0afde34bb485c0dc7ba98501e1 | amount=259 | path=Save.Inventory.Enchant
class=Enchant | name=Criticals | uid=22f880596f6545cd847fb0b2512d0e53 | amount=1 | path=Save.Inventory.Enchant
class=Enchant | name=Criticals | uid=23870c650d524275b5c0b460d5152096 | amount=2 | path=Save.Inventory.Enchant
class=Enchant | name=Criticals | uid=366338a2b42b48588c9a57ffffd35628 | amount=13 | path=Save.Inventory.Enchant
class=Enchant | name=Criticals | uid=36b3e925cfcd43aa929ad8a12fed9e7c | amount=113 | path=Save.Inventory.Enchant
class=Enchant | name=Criticals | uid=3da8333636c448e4b24bde77bbbae5db | amount=69 | path=Save.Inventory.Enchant
class=Enchant | name=Criticals | uid=73338c4d2cb344e49eb76c01dcf279a6 | amount=195 | path=Save.Inventory.Enchant
class=Enchant | name=Criticals | uid=b2839a1d0309406f9f2f7959bffda711 | amount=3 | path=Save.Inventory.Enchant
class=Enchant | name=Criticals | uid=c76c85185ff54cc1b2de9b58fad3c3c9 | amount=155 | path=Save.Inventory.Enchant
class=Enchant | name=Criticals | uid=dd6f6a7e448f4f7cb3baa8f5326f8f89 | amount=1 | path=Save.Inventory.Enchant
class=Enchant | name=Criticals | uid=f78cf5ca50204a8eb35a230e999245a0 | amount=198 | path=Save.Inventory.Enchant
class=Enchant | name=Diamonds | uid=01b5e4a0c0644f43b85ad44a5e2bd77e | amount=4 | path=Save.Inventory.Enchant
class=Enchant | name=Diamonds | uid=08995124ebe74536b498e73a09cd79d7 | amount=179 | path=Save.Inventory.Enchant
class=Enchant | name=Diamonds | uid=360d59f7932b48469f6ff618afd9a9fe | amount=285 | path=Save.Inventory.Enchant
class=Enchant | name=Diamonds | uid=5e13fa436d0840c2b278866975b8af30 | amount=28 | path=Save.Inventory.Enchant
class=Enchant | name=Diamonds | uid=a26308c9caeb4c0abb19ad5e0e29e36d | amount=161 | path=Save.Inventory.Enchant
class=Enchant | name=Diamonds | uid=e8b0f82cf7ff4f50ab45c8ade52276cd | amount=39 | path=Save.Inventory.Enchant
class=Enchant | name=Diamonds | uid=fd2bb701b5ca479ca3ed2fdcb9698c96 | amount=199 | path=Save.Inventory.Enchant
class=Enchant | name=Happy Pets | uid=b8f90b43b5dc4088af7e77e3596deb62 | amount=20 | path=Save.Inventory.Enchant
class=Enchant | name=Huge Hunter | uid=4184368c9d09493f8f82b32fbe93c291 | amount=1 | path=Save.Inventory.Enchant
class=Enchant | name=Large Taps | uid=4744f944035349678c6e05992985d99f | amount=1 | path=Save.Inventory.Enchant
class=Enchant | name=Lightning | uid=9daaa734a7d0436d9a6a570d0666c2b5 | amount=1 | path=Save.Inventory.Enchant
class=Enchant | name=Lucky Eggs | uid=0750471c99bd4d809fca1f088318ca86 | amount=545 | path=Save.Inventory.Enchant
class=Enchant | name=Lucky Eggs | uid=1136528f78a747c3b5841c7eaf3ac78b | amount=3 | path=Save.Inventory.Enchant
